QKEY,INTERVIEW_START_W142,INTERVIEW_END_W142,DEVICE_TYPE_W142,LANG_W142,FORM_W142,XMARITAL_W142,USBEST_COLLEGE_DK_W142,USBEST_ENTERTAINMENT_DK_W142,USBEST_SLIVING_DK_W142,USBEST_MILITARY_DK_W142,USBEST_MEDACHIEVE_DK_W142,USBEST_POLSYSTEM_DK_W142,USBEST_SCIACHIEVE_DK_W142,USBEST_STEMEDUK12_DK_W142,SNSRATE_W142,TECHPOW_W142,TC5_W142,TC6b_W142,SM7_W142,EMPLSIT_W142,FACTWELL_a_W142,FACTWELL_b_W142,FACTWELL_c_W142,FACTWELL_d_W142,FACTWELL_e_W142,FACTWELL_f_W142,FACTWELL_g_W142,FACTWELL_h_W142,FACTWELL_i_W142,FACTWELL_j_W142,FACTWELL_k_W142,TALKMH_a_W142,TALKMH_b_W142,TALKMH_c_W142,TALKMH_d_W142,TALKMH_e_W142,TALKMH_f_W142,TALKMH_g_W142,FACTWGT_a_W142,FACTWGT_b_W142,FACTWGT_c_W142,FACTWGT_d_W142,FACTWGT_e_W142,WILLPWR_W142,OZHEARD_W142,OZUSE_a_W142,OZUSE_b_W142,REDUCOBES_W142,COVIDTHREAT_a_W142,COVIDTHREAT_b_W142,COVIDTHREAT_c_W142,COVIDTHREAT_d_W142,COVID_INFECT_a_W142,COVID_INFECT_b_W142,HRDLONGCOV_W142,LONGCOVID_W142,NEWCOVVAX_W142,USEAI_W142,GENAICRED_W142,AICOPYRGHT_a_W142,AICOPYRGHT_b_W142,AICOPYRGHT_c_W142,AICOPYRGHT_d_W142,AICOPYRGHT_e_W142,AICOPYRGHT_f_W142,AICOPYRGHT_g_W142,CRYPT1_W142,CRYPT2_W142,CRYPTNOW_W142,CRYPTSEC_W142,CRYPT4_W142,GPT1_W142,GPTUSE_W142,GPT2_a_W142,GPT2_b_W142,GPT2_c_W142,GPTPOL1_W142,GPTPOL2_W142,SCI_FLU1_W142,SCI_FLU2_W142,SELFWGT_W142,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W142
201501605257,2024-02-08T13:33:43Z,2024-02-08T14:27:14Z,2,1,2,6,,3,4,2,4,5,,2,2,1,2,1,1,2,4,,,,,,2,3,3,2,2,3,,2,2,3,,3,3,2,2,2,2,2,2,3,3,6,,,,,3,3,,,2,3,2,,,,1,1,2,1,1,2,,3,,1,,1,1,1,2,3,2,3,1,1,1,2,2,3,1,3,2,2,,1,1,1,1,6,1,1,1,4,1,,1,1,3,1,2,1,2,1,3.252798439389411
201501605317,2024-02-09T11:25:23Z,2024-02-09T11:29:14Z,2,1,1,1,1,,2,1,3,3,1,,1,2,2,3,2,2,1,2,2,1,1,3,,,,,,2,1,2,3,,2,,2,3,1,1,1,1,3,,,,2,2,2,2,,,2,4,1,1,2,3,3,1,,,,1,2,2,,5,,2,2,,,,,3,,,4,1,2,4,2,2,1,1,6,2,,1,1,1,1,1,8,,4,6,3,1,1,2,3,3,3,5,2,2,4.896901675457283
201501605822,2024-02-07T17:21:18Z,2024-02-07T17:26:09Z,2,1,2,1,,2,2,1,3,3,,3,3,1,1,3,3,5,4,,,,,,2,2,4,3,2,2,2,2,1,,,5,3,2,3,3,3,1,1,1,1,4,,,,,2,3,,,1,2,2,,,,1,1,1,1,1,1,1,3,3,1,,2,1,,2,5,1,1,2,1,2,3,2,2,1,2,4,2,,1,1,1,1,1,9,,3,6,3,2,2,4,1,6,5,1,2,2,0.7703629112093406
201501605964,2024-02-09T16:22:56Z,2024-02-09T16:31:51Z,2,1,2,1,,1,2,1,5,3,,4,2,1,1,2,3,1,1,,,,,,2,2,3,2,2,2,2,2,1,4,,4,2,2,2,2,2,2,3,,,,,,,,2,3,,,1,3,2,,,,1,1,1,1,2,2,,4,,1,,2,2,2,2,4,1,1,4,1,4,8,2,2,1,1,6,2,,1,1,1,1,1,3,2,4,2,2,,2,4,1,9,4,2,1,2,0.863992364540811
201501605978,2024-02-07T18:07:12Z,2024-02-07T18:11:47Z,2,1,1,1,1,,2,1,2,3,1,,2,1,1,1,1,2,2,1,1,2,1,1,,,,,,2,2,2,2,,4,,3,1,1,2,3,1,2,3,3,3,2,2,2,2,,,2,2,2,5,2,1,1,1,,,,1,2,2,,4,,1,1,,,,,4,,,3,1,4,9,2,2,1,1,5,2,,1,1,1,1,1,10,,3,5,3,1,1,2,1,8,3,2,1,2,0.5921508940145838
201501606140,2024-02-09T17:12:52Z,2024-02-09T17:24:30Z,1,1,2,5,,2,2,2,3,2,,2,3,2,3,3,2,5,2,,,,,,2,2,3,2,1,3,,2,2,,,4,2,1,1,1,2,2,2,3,3,6,,,,,1,1,,,1,5,3,,,,3,3,3,3,3,,,,,3,,,,,,,1,1,2,1,2,4,1,4,2,2,4,2,,4,1,1,4,5,12,,3,5,3,2,2,3,1,3,3,3,2,2,0.3050990998390323
201501606159,2024-02-07T23:29:05Z,2024-02-07T23:32:48Z,1,1,1,1,6,,4,6,4,4,6,,3,3,3,3,3,1,1,2,2,1,3,1,,,,,,2,2,3,2,,4,,2,1,2,1,3,2,2,3,3,6,2,3,2,3,,,2,1,2,5,2,2,2,2,,,,1,2,2,,5,,2,2,,,,,6,,,1,1,4,8,2,2,2,1,5,2,,1,1,1,1,1,1,1,1,5,1,,1,2,1,2,3,1,2,1,0.8654538674103671
201501606569,2024-02-07T17:10:49Z,2024-02-07T17:15:38Z,1,1,1,6,1,,2,1,4,3,1,,2,1,3,3,1,3,3,1,2,3,1,1,,,,,,3,,4,3,,4,,3,1,2,1,2,1,2,3,3,4,2,2,3,3,,,2,3,1,2,3,1,1,1,,,,1,2,2,,4,,2,2,,,,,6,,,3,1,3,5,1,2,1,1,6,2,,4,3,5,4,6,1,99,1,5,2,,2,3,1,9,3,1,1,3,0.505072044080566
201501606632,2024-02-08T13:05:49Z,2024-02-08T13:13:43Z,2,1,1,6,1,,3,1,5,5,2,,2,1,1,2,2,3,2,2,4,1,1,5,,,,,,1,,2,3,,4,,2,1,2,1,2,2,2,3,2,4,3,2,2,3,,,1,2,2,2,2,1,2,1,,,,1,1,2,,4,,1,2,,,,,6,,,2,1,4,9,2,2,1,2,3,2,,1,1,1,1,6,9,,3,6,3,2,2,4,1,3,5,1,2,2,1.293689067353855
201501606644,2024-02-07T21:24:27Z,2024-02-07T21:32:06Z,2,1,2,1,,3,1,1,2,1,,3,2,1,2,1,1,1,1,,,,,,3,3,1,3,2,1,1,2,3,3,,1,3,1,1,2,4,1,3,,,,,,,,4,4,,,2,3,2,,,,1,1,2,1,1,1,2,3,3,1,,1,1,2,2,5,2,3,3,2,1,1,3,2,1,1,5,2,,1,4,4,1,1,2,2,2,1,3,99,9,9,1,5,3,2,2,1,4.896901675457283
201501606776,2024-02-09T16:50:39Z,2024-02-09T17:00:43Z,1,1,1,1,2,,2,1,2,2,2,,1,3,3,3,2,5,1,1,2,3,2,4,,,,,,2,2,2,3,,4,,2,3,3,2,2,1,2,1,2,4,2,2,2,2,,,1,2,1,5,2,1,1,1,,,,1,2,2,,5,,1,2,,,,,4,,,3,1,4,9,2,4,1,1,5,2,,1,1,1,1,1,12,,3,6,2,,2,4,1,9,4,2,2,3,0.4987128932303443
201501606876,2024-02-08T10:22:25Z,2024-02-08T10:31:09Z,1,1,1,3,4,,4,2,5,2,3,,2,1,1,3,3,1,1,2,1,3,1,4,,,,,,1,,1,1,,4,,2,1,1,2,2,2,2,1,3,4,2,2,2,3,,,2,2,2,3,2,1,1,1,,,,1,2,2,,4,,2,2,,,,,4,,,2,1,3,5,2,3,2,1,5,2,,1,1,1,1,3,12,,3,6,2,,2,4,1,4,4,1,2,2,0.4948570568829873
201501607965,2024-02-09T02:20:26Z,2024-02-09T02:27:38Z,2,2,2,1,,3,3,2,2,3,,3,1,1,1,3,2,3,1,,,,,,1,1,1,1,1,4,3,3,3,,,3,1,1,1,1,1,1,3,,,,,,,,2,4,,,2,5,3,,,,3,3,3,3,3,,,,,3,,,,,,,2,3,1,1,3,7,1,2,2,3,1,1,1,2,5,3,4,1,2,2,2,3,3,2,2,4,3,2,5,1,2,1,4.436708494846594
201501608033,2024-02-08T14:59:29Z,2024-02-08T15:03:53Z,2,1,1,1,2,,2,1,3,3,2,,2,3,3,1,2,1,1,1,1,2,2,1,,,,,,2,1,2,2,,3,,1,1,1,2,2,1,3,,,,3,3,3,3,,,3,,2,5,2,1,1,1,,,,1,2,1,1,5,2,2,2,,,,,4,,,2,1,2,3,2,3,1,2,4,1,2,1,1,3,1,1,1,1,1,2,1,,1,1,1,9,2,1,1,3,0.34037050869401647
201501608065,2024-02-07T18:46:58Z,2024-02-07T18:51:53Z,2,1,1,2,3,,2,3,3,3,2,,2,1,3,1,1,1,3,1,1,1,1,5,,,,,,3,3,3,1,,5,,3,1,1,3,3,1,1,1,3,4,3,3,2,3,,,2,3,2,3,1,2,2,2,,,,2,3,,,,,2,1,,,,,5,,,3,,4,9,3,2,2,1,5,2,,1,1,1,1,2,10,,3,6,4,1,1,2,1,6,3,2,1,99,0.44914895778068203
201501608312,2024-02-09T20:31:49Z,2024-02-09T20:54:04Z,2,1,1,1,1,,1,1,2,2,1,,2,1,1,1,2,1,3,3,3,1,3,3,,,,,,2,1,3,1,,3,,2,1,1,2,1,1,3,,,,1,1,1,1,,,1,1,2,2,2,1,1,1,,,,1,1,2,,5,,2,2,,,,,5,,,3,1,2,4,3,3,1,2,3,2,,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,2,2,2,2,1.5770544669011375
201501608651,2024-02-09T12:03:14Z,2024-02-09T14:12:07Z,2,1,1,1,3,,3,1,4,3,1,,2,99,1,3,1,1,1,1,2,2,1,4,,,,,,2,1,2,1,,4,,2,1,1,1,1,2,2,1,2,3,2,2,2,1,,,2,1,1,3,2,1,1,99,,,,1,2,1,1,3,4,2,2,,,,,5,,,1,1,2,3,2,3,1,1,6,2,,1,1,1,1,1,2,2,2,4,4,1,1,2,1,9,3,1,1,3,0.38020424619671916
201501608920,2024-02-07T19:54:31Z,2024-02-07T20:12:36Z,2,1,2,4,,1,2,1,1,1,,2,2,1,1,2,2,4,2,,,,,,2,2,4,2,1,1,,3,2,,,5,2,1,1,1,2,2,3,,,,,,,,3,3,,,1,1,3,,,,3,1,3,1,2,2,,4,,3,,,,,,,1,1,2,1,3,7,1,3,2,1,5,2,,4,1,1,4,4,12,,3,6,2,,2,4,1,2,4,2,2,2,1.1708284967842182
201501608939,2024-02-07T17:40:20Z,2024-02-07T17:49:46Z,2,1,2,1,,2,3,1,5,4,,4,3,1,1,3,2,1,3,,,,,,2,1,3,2,2,2,1,2,3,3,,5,2,2,3,2,2,2,2,2,2,5,,,,,3,4,,,2,3,2,,,,1,1,1,1,2,2,,3,,2,,2,2,2,2,6,1,1,2,1,3,7,3,2,2,2,4,2,,1,1,1,1,1,9,,3,6,3,2,2,3,1,3,3,2,2,1,1.5026202350838123
201501609016,2024-02-11T15:30:21Z,2024-02-11T15:41:01Z,2,1,2,3,,1,2,2,1,1,,2,2,1,1,3,2,5,1,,,,,,1,1,2,1,1,3,,3,1,,,2,1,1,1,1,1,2,2,3,2,3,,,,,4,3,,,1,4,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,1,1,2,1,3,5,2,4,2,1,5,2,,1,1,1,1,3,11,,4,6,2,,2,4,1,4,4,2,1,2,0.32437076775432916
201501609213,2024-02-08T15:42:15Z,2024-02-08T16:10:08Z,2,1,2,1,,2,3,2,3,4,,3,3,3,3,3,2,1,3,,,,,,2,2,4,2,1,2,1,2,3,3,,5,1,2,1,1,3,2,2,1,2,4,,,,,3,3,,,1,4,2,,,,1,1,1,1,2,1,2,3,2,2,,2,2,2,2,5,1,2,2,1,1,2,2,3,1,1,5,2,,1,1,1,1,1,9,,3,6,2,,2,3,1,5,3,1,1,2,0.3484929928160081
201501609318,2024-02-07T17:09:17Z,2024-02-07T17:16:51Z,3,1,1,1,2,,3,2,3,2,2,,2,2,1,1,1,1,2,2,2,3,2,1,,,,,,2,1,2,3,,3,,3,2,2,2,2,2,2,1,2,3,3,3,3,3,,,2,2,2,5,2,1,1,1,,,,1,2,2,,5,,2,2,,,,,5,,,2,1,3,7,3,3,2,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,2,1,1,3,0.4436281232960332
201501609350,2024-02-08T10:25:17Z,2024-02-08T10:30:25Z,2,1,2,1,,2,2,2,3,2,,4,2,1,3,1,1,1,3,,,,,,2,1,2,2,1,2,1,2,3,5,,3,1,1,1,1,1,1,1,1,2,3,,,,,3,3,,,2,1,2,,,,1,1,1,1,1,2,,5,,1,,2,2,2,2,5,1,1,1,2,3,7,3,2,2,1,5,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,8,1,1,1,2,0.3412527278030529
201501609825,2024-02-08T07:26:43Z,2024-02-08T10:37:33Z,2,1,2,3,,1,4,2,4,4,,2,2,1,1,1,2,1,3,,,,,,1,1,2,1,1,1,,3,2,3,,3,1,1,1,1,1,2,1,1,2,3,,,,,2,3,,,2,1,2,,,,1,2,1,1,3,,,,,1,,2,2,1,2,6,2,2,1,1,3,5,2,2,2,1,5,1,3,1,2,3,1,3,1,2,1,6,4,2,2,3,1,7,3,1,1,2,0.48665936005227606
201501609904,2024-02-07T17:23:43Z,2024-02-07T17:42:54Z,1,1,2,2,,1,4,5,5,4,,4,3,1,1,2,1,1,1,,,,,,1,1,3,1,1,2,1,4,2,5,,5,2,1,1,2,1,2,2,1,3,3,,,,,2,3,,,1,1,2,,,,1,1,1,1,1,2,,5,,1,,1,1,1,2,5,1,1,3,1,4,9,2,2,1,1,6,2,,1,1,1,1,2,9,,3,6,3,2,2,4,1,8,5,1,99,2,0.5219157869115733
201501610171,2024-02-08T09:13:11Z,2024-02-08T09:20:24Z,1,1,1,3,3,,1,1,4,3,2,,3,1,1,1,1,2,5,1,5,3,1,3,,,,,,1,,3,3,,5,,99,1,1,1,3,2,3,,,,2,2,2,2,,,3,,2,5,3,1,1,1,,,,1,2,2,,5,,3,,,,,,,,,2,1,4,9,2,4,2,3,2,2,,1,1,1,1,3,1,2,1,5,2,,2,3,1,3,3,2,2,2,0.858153035029456
201501610350,2024-02-07T17:47:38Z,2024-02-07T18:06:18Z,1,1,2,1,,6,6,2,6,6,,3,3,3,3,1,2,5,2,,,,,,3,3,3,4,2,3,2,3,4,,,4,3,2,2,3,3,2,3,,,,,,,,2,3,,,2,4,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,2,1,3,1,2,4,2,4,2,2,4,2,,1,1,1,1,1,1,2,1,2,1,,1,1,1,6,2,2,1,2,0.5781796940692564
201501610567,2024-02-07T17:09:48Z,2024-02-07T17:12:46Z,2,1,1,6,3,,3,1,4,4,3,,3,1,1,2,3,1,2,2,3,2,1,4,,,,,,2,,2,1,,3,,2,1,1,2,2,2,1,3,2,3,2,2,2,2,,,1,1,1,4,1,1,1,1,,,,2,2,2,,5,,1,1,,,,,5,,,1,1,4,8,2,1,1,1,5,2,,1,1,1,1,6,10,,3,6,4,2,2,4,1,5,5,1,1,2,0.6826213271999488
201501610651,2024-02-08T06:58:08Z,2024-02-08T07:03:38Z,2,1,2,1,,1,3,1,4,4,,2,3,3,1,3,3,1,3,,,,,,3,3,4,1,1,1,1,3,1,2,,5,4,1,2,3,1,2,2,1,3,2,,,,,4,3,,,1,4,2,,,,1,1,1,1,1,2,,5,,1,,1,1,1,2,5,1,1,2,1,1,1,3,3,1,1,6,2,,4,1,1,3,1,9,,3,6,3,2,2,3,1,9,3,1,1,3,0.43298914275093087
201501610872,2024-02-07T19:40:18Z,2024-02-11T14:17:01Z,2,1,2,1,,3,3,2,4,3,,3,3,3,3,3,3,1,2,,,,,,2,2,4,2,2,2,2,2,2,3,,4,3,2,2,3,3,1,1,1,2,3,,,,,3,4,,,2,2,2,,,,1,1,1,3,2,2,,4,,2,,2,2,2,2,4,1,1,3,1,1,1,1,2,2,1,5,2,,1,1,1,1,1,12,,3,4,2,,2,3,1,9,3,1,2,3,0.5980518745814376
201501611091,2024-02-07T17:27:27Z,2024-02-07T17:34:58Z,2,1,2,1,,2,3,2,4,3,,3,3,3,3,1,2,1,3,,,,,,3,3,3,3,1,3,4,4,2,4,,4,2,2,3,2,3,2,2,2,1,4,,,,,3,3,,,2,5,1,,,,2,1,2,1,3,,,,,2,,2,2,2,2,5,2,3,3,2,3,5,3,2,2,2,3,2,,1,2,2,1,1,1,1,1,4,3,2,2,4,1,9,4,1,1,2,0.5392375930263119
201501611142,2024-02-08T07:56:18Z,2024-02-08T08:01:41Z,2,1,2,1,,3,3,2,5,3,,4,2,1,1,1,1,3,1,,,,,,1,1,3,1,1,2,1,1,1,,,1,3,1,1,2,1,1,2,3,3,4,,,,,4,4,,,2,5,2,,,,1,1,1,1,2,2,,3,,2,,2,2,,2,5,2,3,3,1,2,4,2,2,2,1,5,2,,1,1,1,1,1,9,,3,6,3,2,2,3,1,9,3,2,1,2,0.4316102483492084
201501611174,2024-02-07T17:51:16Z,2024-02-07T18:02:17Z,2,1,2,1,,1,1,1,4,4,,4,2,1,1,2,1,5,1,,,,,,2,2,3,2,1,3,1,2,1,,,2,2,3,2,2,3,2,2,1,2,4,,,,,1,2,,,1,5,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,1,1,1,1,4,9,1,4,2,1,6,2,,1,1,1,1,1,1,2,1,4,2,,2,4,1,7,5,2,1,2,0.40504662714052536
201501611392,2024-02-11T11:22:01Z,2024-02-11T11:31:45Z,2,1,2,6,,1,2,1,3,3,,4,2,3,1,2,3,1,2,,,,,,3,2,4,2,2,3,,3,4,2,,5,2,1,1,3,2,2,1,1,2,3,,,,,3,4,,,1,5,2,,,,2,1,1,2,1,1,1,4,2,1,,2,2,2,2,6,1,1,3,1,4,9,2,2,1,1,5,2,,1,2,2,1,6,12,,3,6,4,2,2,4,2,4,4,1,2,2,2.5859763178969897
201501611531,2024-02-07T17:31:31Z,2024-02-07T17:41:14Z,2,1,1,1,1,,1,2,2,3,2,,2,1,2,1,2,5,3,3,3,5,2,5,,,,,,4,3,5,3,,4,,2,2,2,2,2,2,1,1,1,2,2,2,2,3,,,2,2,1,5,2,1,1,1,,,,1,2,2,,5,,2,2,,,,,5,,,1,2,3,6,2,4,1,1,5,2,,1,1,1,1,1,12,,3,6,2,,2,3,1,9,3,2,2,3,0.4773707620630462
201501611818,2024-02-07T21:43:36Z,2024-02-07T21:46:59Z,2,1,1,1,2,,4,5,5,5,2,,2,1,1,2,2,1,2,3,1,3,1,5,,,,,,3,1,2,99,,5,,2,1,2,1,3,2,3,,,,2,2,3,99,,,1,2,2,4,1,2,2,2,,,,1,1,2,,5,,1,1,,,,,5,,,1,1,3,5,1,2,1,1,5,2,,1,1,1,1,1,12,,3,6,4,2,2,4,3,9,5,1,1,3,0.596514995700862
201501611912,2024-02-07T19:23:36Z,2024-02-07T19:36:13Z,2,1,2,5,,1,2,4,4,5,,4,2,1,1,3,1,1,1,,,,,,1,1,1,1,1,1,,1,3,2,,1,1,1,1,2,4,2,1,3,2,4,,,,,3,3,,,2,5,2,,,,1,1,1,1,1,2,,5,,3,,,,,,,2,3,1,1,3,7,3,3,2,2,3,2,,1,1,1,1,5,1,1,1,2,1,,1,2,1,4,3,2,2,2,0.9056411413255719
201501611923,2024-02-07T22:47:41Z,2024-02-07T22:57:46Z,2,1,1,5,4,,2,1,4,4,6,,2,1,3,99,1,4,2,2,1,4,2,3,,,,,,2,,2,2,,4,,3,1,2,1,2,2,99,,,,2,2,2,2,,,2,2,99,5,3,1,1,1,,,,1,3,,,,,2,2,,,,,5,,,3,2,3,6,3,4,2,3,2,2,,1,1,1,1,5,2,2,2,5,1,,1,1,1,1,2,5,2,1,4.896901675457283
201501612249,2024-02-07T17:23:02Z,2024-02-08T22:12:46Z,2,1,1,3,1,,1,1,1,1,1,,2,1,2,1,1,2,1,2,1,4,1,1,,,,,,2,,2,2,,3,,1,2,3,2,3,2,1,1,2,3,3,3,3,3,,,1,3,2,3,3,1,1,3,,,,1,3,,,,,2,2,,,,,5,,,2,1,1,1,2,4,2,1,5,2,,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,1,2,1,2,0.33782680629784595
201501612338,2024-02-07T17:21:17Z,2024-02-07T17:31:55Z,2,1,2,1,,6,5,3,5,5,,5,2,3,3,3,2,3,3,,,,,,4,3,3,3,3,3,3,3,5,,,5,3,3,3,3,5,1,2,3,3,6,,,,,2,3,,,2,5,3,,,,3,3,3,3,3,,,,,3,,,,,,,2,3,3,1,2,3,3,2,1,3,2,2,,1,1,1,1,1,99,99,99,6,1,,1,2,1,1,3,5,2,1,3.806485901105877
201501612694,2024-02-09T10:43:48Z,2024-02-09T10:58:56Z,2,1,1,4,6,,3,2,6,6,2,,3,1,3,3,2,1,3,5,2,2,2,5,,,,,,1,,1,1,,5,,2,2,2,2,5,1,3,,,,2,3,3,3,,,3,,2,2,3,1,1,1,,,,3,2,2,,4,,2,2,,,,,6,,,2,2,2,3,3,2,1,3,2,2,,1,1,1,1,4,12,,3,6,3,1,1,1,1,2,2,2,2,1,1.2142875123353765
201501613005,2024-02-07T17:24:02Z,2024-02-07T17:31:10Z,2,1,1,3,2,,3,1,3,2,2,,2,1,1,3,2,1,2,1,1,3,2,3,,,,,,1,,3,2,,3,,4,1,1,2,2,2,2,3,3,6,2,2,2,3,,,1,2,1,5,2,1,1,1,,,,1,1,2,,5,,2,2,,,,,5,,,3,1,1,2,1,4,1,1,6,2,,1,2,2,1,3,1,2,1,3,2,,2,3,1,1,3,2,2,1,0.3730829103309255
201501613180,2024-02-08T22:48:13Z,2024-02-08T22:54:33Z,1,1,2,1,,1,3,1,4,4,,3,2,1,1,3,4,1,4,,,,,,3,2,5,1,2,2,4,3,2,5,,4,2,1,1,2,2,2,2,1,1,4,,,,,3,3,,,2,5,2,,,,1,1,1,1,1,2,,5,,1,,2,1,2,2,3,2,2,2,1,4,9,2,2,1,1,5,2,,1,1,1,1,1,10,,3,6,2,,2,4,1,9,4,1,2,3,0.790521028649473
201501613692,2024-02-07T17:23:20Z,2024-02-07T17:43:24Z,2,1,1,5,2,,2,2,3,3,2,,3,1,1,1,1,5,1,3,4,99,3,2,,,,,,2,,2,3,,3,,1,2,2,2,2,2,1,1,2,4,2,2,2,2,,,1,2,2,2,2,1,1,1,,,,1,2,2,,5,,2,2,,,,,4,,,3,1,3,5,2,4,2,1,5,2,,1,1,1,1,5,2,2,2,6,1,,1,1,1,9,2,3,2,99,0.6773970617910393
201501613699,2024-02-07T18:15:14Z,2024-02-07T18:20:53Z,2,1,1,1,1,,3,3,2,3,1,,2,1,1,3,2,1,3,1,1,3,3,5,,,,,,1,1,1,1,,4,,1,1,3,2,2,1,2,1,1,3,2,3,2,3,,,2,3,1,2,3,1,1,1,,,,1,2,2,,5,,2,1,,,,,5,,,2,1,3,5,2,2,2,1,6,2,,1,1,1,1,1,9,,3,6,2,,2,4,1,9,5,1,1,3,0.46383639701954743
201501613809,2024-02-07T18:24:24Z,2024-02-07T18:30:31Z,2,1,2,5,,2,3,1,4,4,,4,2,1,1,1,1,2,2,,,,,,2,2,3,2,3,3,,3,3,3,,3,3,1,2,2,2,2,2,2,2,3,,,,,4,4,,,2,4,2,,,,1,1,1,1,2,2,,4,,2,,2,2,2,2,4,2,3,2,1,4,8,2,3,1,1,5,2,,1,1,1,1,5,2,2,2,6,1,,1,1,1,1,2,2,2,1,1.786588452268177
201501613856,2024-02-08T00:21:51Z,2024-02-08T00:27:17Z,1,1,2,1,,1,4,1,4,3,,4,3,3,1,2,1,1,3,,,,,,3,3,3,3,2,3,1,4,3,5,,4,2,1,1,2,2,2,2,3,3,6,,,,,1,3,,,2,5,2,,,,1,1,1,1,2,1,1,3,3,2,,1,1,1,2,5,2,1,1,1,1,2,2,2,1,1,6,2,,1,1,1,1,1,10,,3,5,3,2,2,3,1,3,3,1,1,1,0.4112459530028418
201501613977,2024-02-07T18:35:45Z,2024-02-07T18:40:33Z,2,1,2,6,,2,4,3,4,4,,4,2,99,3,1,3,1,2,,,,,,3,1,4,3,2,2,,4,3,4,,5,1,1,3,1,1,2,2,1,2,3,,,,,3,3,,,1,4,1,,,,1,1,1,1,2,2,,5,,2,,2,2,2,2,5,1,1,1,1,3,7,2,2,2,1,5,1,7,4,1,3,4,6,2,2,2,6,2,,2,3,1,5,3,1,2,2,1.5615808340295674
201501614270,2024-02-10T15:24:36Z,2024-02-10T15:35:50Z,1,1,2,1,,2,1,2,2,1,,2,2,1,3,1,1,5,2,,,,,,2,1,3,1,1,1,1,2,1,,,1,1,1,2,2,5,1,3,,,,,,,,2,3,,,2,5,3,,,,1,3,3,3,1,2,,4,,3,,,,,,,1,1,3,1,3,5,1,4,1,2,4,2,,1,1,1,1,1,2,2,2,2,1,,1,1,1,4,2,4,2,2,0.4383487856354802
201501614487,2024-02-08T09:54:12Z,2024-02-08T10:09:20Z,2,1,2,1,,3,3,3,4,5,,4,2,1,3,1,1,5,3,,,,,,2,1,3,1,2,2,1,2,2,,,3,3,1,1,1,2,1,1,2,2,3,,,,,4,4,,,2,2,2,,,,1,1,1,1,2,2,,3,,2,,2,2,,2,5,2,3,2,2,4,8,1,4,1,2,4,2,,1,1,1,1,1,10,,3,6,3,1,1,2,3,9,3,2,2,3,1.7084593426941916
201501614513,2024-02-08T11:41:31Z,2024-02-08T11:46:24Z,2,1,1,1,2,,2,2,3,2,2,,2,1,1,3,2,1,2,3,3,2,3,3,,,,,,4,4,4,3,,4,,2,1,2,2,2,2,2,3,2,3,2,2,2,3,,,2,2,2,5,1,3,3,3,,,,3,3,,,,,3,,,,,,,,,3,2,2,4,2,2,2,1,5,2,,1,1,1,1,1,1,99,1,4,2,,2,3,2,7,3,2,2,2,2.694210927771793
201501614900,2024-02-07T17:55:05Z,2024-02-07T18:02:35Z,1,1,1,2,3,,2,2,3,1,2,,2,1,3,1,1,1,1,3,3,2,4,4,,,,,,2,4,2,3,,4,,2,2,2,99,4,2,3,,,,2,3,2,2,,,1,3,2,4,2,1,2,1,,,,1,2,2,,5,,3,,,,,,,,,4,1,3,7,1,4,2,1,5,2,,1,1,1,1,2,12,,3,4,3,1,1,2,1,6,3,1,2,2,0.4297365474961777
201501615009,2024-02-07T20:14:57Z,2024-02-07T20:29:41Z,2,1,1,2,1,,1,1,2,1,1,,2,1,1,2,2,1,2,3,2,2,3,4,,,,,,5,3,4,4,,5,,3,2,2,2,3,2,2,1,1,3,2,2,2,3,,,2,2,1,5,2,1,1,1,,,,2,1,1,1,4,2,2,2,,,,,4,,,2,1,2,3,2,3,2,1,5,2,,1,1,1,1,2,10,,3,4,2,,2,3,1,9,3,1,1,3,0.22787651377579637
201501615119,2024-02-08T14:24:40Z,2024-02-08T14:31:29Z,2,1,2,1,,1,1,1,4,1,,4,2,3,2,1,1,1,2,,,,,,2,1,5,1,1,4,3,4,2,5,,3,2,1,1,3,3,1,2,1,2,2,,,,,4,3,,,2,1,1,,,,1,2,2,2,1,1,1,3,1,1,,1,1,1,2,4,2,1,2,1,4,8,2,2,1,1,5,1,6,1,1,3,1,1,12,,3,2,3,1,1,2,1,9,3,1,1,3,0.26926599118179234
