"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"520","Some","Upper Income","Not too much","A little","Yes","Democrat","Female","Low","Some"
"521","Some","Lower Income","Not too much","A little","Yes","Republican","Male","Low","Some"
"522","Not too much","Upper Income","Some","A lot","No","Republican","Female","Some","Not too much"
"523","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"524","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","Not too much"
"525","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"526","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"527","Some","Lower Income","Some","A little","No","Republican","Male","Some","Some"
"528","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"529","Some","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"530","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"531","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"532","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"533","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"534","Not too much","Lower Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"535","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"536","Some","Lower Income","Some","A lot","Yes","Republican","Female","Some","Some"
"537","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"538","Nothing at all","Lower Income","Some","A lot","Not sure","Democrat","Female","Some","Nothing at all"
"539","Nothing at all","Middle Income","Not too much","A little","Not sure","Republican","Male","Low","Nothing at all"
"540","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"541","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"542","Not too much","Upper Income","A great deal","A lot","No","Democrat","Male","A great deal","Not too much"
"543","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"544","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"545","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"546","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"547","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"548","Not too much","Upper Income","Some","A lot","No","Democrat","Male","Some","Not too much"
"549","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"550","Not too much","Lower Income","Some","A little","No","Democrat","Female","Some","Not too much"
"551","Nothing at all","Middle Income","Not too much","A little","Not sure","Democrat","Male","Low","Nothing at all"
"552","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"553","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"554","Some","Middle Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"555","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"556","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"557","Some","Lower Income","Some","A little","No","Democrat","Female","Some","Some"
"558","Quite a bit","Lower Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","A lot"
"559","Some","Lower Income","Not too much","A little","Yes","Democrat","Female","Low","Some"
"560","Some","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"561","Quite a bit","Middle Income","Some","A little","No","Republican","Female","Some","A lot"
"562","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"563","Some","Middle Income","A great deal","A lot","Not sure","Republican","Male","A great deal","Some"
"564","Not too much","Upper Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"565","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"566","Not too much","Upper Income","Some","A little","No","Democrat","Female","Some","Not too much"
"567","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"568","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"569","Some","Lower Income","Not too much","A little","Yes","Republican","Female","Low","Some"
"570","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"571","Not too much","Lower Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Not too much"
"572","Nothing at all","Middle Income","Not too much","A lot","Not sure","Republican","Female","Low","Nothing at all"
"573","Not too much","Middle Income","Not too much","A little","No","Republican","Female","Low","Not too much"
"574","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"575","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"576","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"577","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"578","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"579","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Not too much"
"580","Some","Upper Income","Some","A lot","Yes","Republican","Female","Some","Some"
"581","Not too much","Upper Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"582","Some","Upper Income","Some","A lot","Not sure","Democrat","Male","Some","Some"
"583","Some","Middle Income","Some","A little","Not sure","Republican","Female","Some","Some"
"584","Nothing at all","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Nothing at all"
"585","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"586","Some","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"587","Not too much","Lower Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"588","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"589","Some","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"590","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"591","Quite a bit","Middle Income","Some","A little","Yes","Republican","Male","Some","A lot"
"592","Some","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"593","Nothing at all","Middle Income","Some","A little","No","Republican","Male","Some","Nothing at all"
"594","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"595","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"596","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"597","Not too much","Upper Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"598","Some","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"599","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Not too much"
"600","Not too much","Middle Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"601","A great deal","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"602","Not too much","Lower Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"603","Not too much","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"604","Not too much","Upper Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"605","Some","Lower Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Some"
"606","Quite a bit","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","A lot"
"607","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"608","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"609","Not too much","Upper Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"610","Nothing at all","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Nothing at all"
"611","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"612","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"613","Nothing at all","Upper Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Nothing at all"
"614","Not too much","Lower Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"615","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"616","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"617","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"618","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"619","Some","Middle Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"620","Quite a bit","Middle Income","Some","A little","Yes","Democrat","Female","Some","A lot"
"621","Some","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"622","Some","Lower Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Some"
"623","Not too much","Upper Income","A great deal","A lot","Not sure","Democrat","Male","A great deal","Not too much"
"624","Quite a bit","Middle Income","Not too much","A little","Yes","Democrat","Female","Low","A lot"
"625","Not too much","Lower Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"626","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"627","Some","Lower Income","Some","A lot","No","Democrat","Male","Some","Some"
"628","Some","Middle Income","A great deal","A lot","No","Republican","Female","A great deal","Some"
"629","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"630","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"631","Not too much","Upper Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"632","Some","Upper Income","Some","A little","Yes","Democrat","Female","Some","Some"
"633","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Not too much"
"634","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"635","Not too much","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"636","Not too much","Lower Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"637","Not too much","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Not too much"
"638","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"639","Not too much","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"640","Not too much","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Not too much"
"641","Not too much","Lower Income","Not too much","A little","Not sure","Republican","Male","Low","Not too much"
"642","A great deal","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"643","Not too much","Lower Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"644","Not too much","Middle Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"645","Some","Upper Income","Some","A little","Yes","Republican","Female","Some","Some"
"646","Nothing at all","Upper Income","Not too much","A lot","Yes","Democrat","Male","Low","Nothing at all"
"647","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"648","Some","Middle Income","Some","A little","Not sure","Republican","Female","Some","Some"
"649","Some","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"650","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"651","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"652","Not too much","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","Not too much"
"653","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"654","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"655","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"656","Some","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"657","Some","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"658","Not too much","Lower Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"659","Some","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Some"
"660","Not too much","Lower Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"661","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"662","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"663","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Not too much"
"664","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Not too much"
"665","Some","Upper Income","A great deal","A lot","No","Republican","Female","A great deal","Some"
"666","Some","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"667","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"668","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"669","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"670","Not too much","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"671","Some","Upper Income","Some","A little","No","Republican","Male","Some","Some"
"672","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"673","Nothing at all","Middle Income","Quite a bit","A lot","Not sure","Democrat","Male","Quite a bit","Nothing at all"
"674","Some","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"675","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"676","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"677","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"678","Quite a bit","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"679","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"680","Not too much","Middle Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"681","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"682","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"683","Not too much","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","Not too much"
"684","Not too much","Middle Income","Not too much","A little","Yes","Republican","Female","Low","Not too much"
"685","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"686","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"687","Not too much","Middle Income","Quite a bit","A lot","Not sure","Democrat","Male","Quite a bit","Not too much"
"688","Some","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"689","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","Not too much"
"690","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"691","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"692","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"693","Some","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"694","Some","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Some"
"695","Not too much","Upper Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"696","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"697","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"698","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"699","Quite a bit","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"700","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"701","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"702","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"703","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"704","Quite a bit","Middle Income","A great deal","A lot","Not sure","Democrat","Female","A great deal","A lot"
"705","Some","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"706","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"707","Some","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"708","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"709","Not too much","Middle Income","A great deal","A little","Not sure","Republican","Male","A great deal","Not too much"
"710","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"711","Nothing at all","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Nothing at all"
"712","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"713","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"714","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"715","Some","Upper Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"716","Not too much","Lower Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"717","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"718","Quite a bit","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"719","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"720","Not too much","Upper Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"721","Some","Upper Income","Some","A little","No","Republican","Female","Some","Some"
"722","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"723","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"724","Not too much","Lower Income","Some","A little","No","Republican","Male","Some","Not too much"
"725","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"726","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"727","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"728","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"729","Not too much","Middle Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"730","Some","Lower Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"731","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"732","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"733","A great deal","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"734","Some","Middle Income","Some","A little","No","Democrat","Male","Some","Some"
"735","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"736","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"737","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"738","Some","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"739","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"740","Some","Upper Income","Not too much","A lot","Yes","Republican","Female","Low","Some"
"741","Not too much","Middle Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Not too much"
"742","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"743","A great deal","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"744","Quite a bit","Upper Income","Some","A lot","Not sure","Republican","Female","Some","A lot"
"745","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"746","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Nothing at all"
"747","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"748","Some","Lower Income","Some","A little","Yes","Republican","Female","Some","Some"
"749","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"750","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"751","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"752","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"753","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"754","Not too much","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"755","Some","Upper Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"756","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"757","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"758","Some","Middle Income","Some","A lot","No","Democrat","Male","Some","Some"
"759","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"760","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"761","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"762","Some","Middle Income","Quite a bit","A lot","No","Republican","Female","Quite a bit","Some"
"763","Not too much","Upper Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"764","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"765","Some","Upper Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Some"
"766","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"767","Quite a bit","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"768","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"769","Some","Upper Income","Some","A little","Yes","Democrat","Female","Some","Some"
"770","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"771","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"772","Not too much","Middle Income","Not at all","A lot","Yes","Republican","Female","Low","Not too much"
"773","Not too much","Lower Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"774","Nothing at all","Lower Income","A great deal","A lot","Not sure","Democrat","Female","A great deal","Nothing at all"
"775","Not too much","Upper Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"776","Quite a bit","Lower Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"777","Some","Lower Income","Some","A little","Yes","Republican","Female","Some","Some"
"778","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"779","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"780","Not too much","Upper Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"781","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"782","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"783","Some","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Some"
"784","Nothing at all","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Nothing at all"
"785","Nothing at all","Middle Income","Some","A lot","Yes","Republican","Female","Some","Nothing at all"
"786","Some","Lower Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"787","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"788","Quite a bit","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","A lot"
"789","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"790","Quite a bit","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"791","Quite a bit","Middle Income","Some","A little","Yes","Republican","Male","Some","A lot"
"792","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Male","Some","Nothing at all"
"793","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"794","Not too much","Upper Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"795","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"796","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"797","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"798","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"799","Not too much","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"800","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"801","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"802","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"803","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"804","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"805","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"806","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"807","Quite a bit","Middle Income","A great deal","A little","No","Republican","Male","A great deal","A lot"
"808","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"809","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"810","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"811","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"812","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"813","Some","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"814","Not too much","Upper Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"815","Nothing at all","Middle Income","A great deal","A lot","Not sure","Republican","Male","A great deal","Nothing at all"
"816","Some","Upper Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Some"
"817","Some","Upper Income","Some","A little","Yes","Republican","Female","Some","Some"
"818","Quite a bit","Upper Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"819","A great deal","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"820","Some","Middle Income","Some","A lot","No","Republican","Female","Some","Some"
"821","Some","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"822","Nothing at all","Upper Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Nothing at all"
"823","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"824","Not too much","Upper Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"825","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"826","Some","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"827","Some","Upper Income","Some","A little","Not sure","Republican","Female","Some","Some"
"828","Quite a bit","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","A lot"
"829","Some","Middle Income","Some","A little","No","Democrat","Female","Some","Some"
"830","Some","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"831","Some","Lower Income","Some","A little","Yes","Republican","Female","Some","Some"
"832","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"833","Nothing at all","Upper Income","A great deal","A lot","Not sure","Republican","Male","A great deal","Nothing at all"
"834","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"835","A great deal","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"836","Not too much","Upper Income","Some","A little","No","Republican","Female","Some","Not too much"
"837","Quite a bit","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"838","Some","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"839","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Nothing at all"
"840","Not too much","Upper Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"841","Not too much","Upper Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"842","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
